"region.name", "abbr.name"
"Hamilton County (Chattanooga)", "X.ILI.CHR"
"East Tennessee Region", "X.ILI.ETR"
"Jackson-Madison County", "X.ILI.JMR"
"Knoxville-Knox County", "X.ILI.KKR"
"Mid-Cumberland Region", "X.ILI.MCR"
"Shelby County (Memphis)", "X.ILI.MSR"
"Nashville-Davidson County", "X.ILI.NDR"
"Northeast Region", "X.ILI.NER"
"South Central Region", "X.ILI.SCR"
"Southeast Region", "X.ILI.SER"
"Sullivan County (Tri-Cities)", "X.ILI.SUL"
"Upper Cumberland Region", "X.ILI.UCR"
"West Tennessee Region", "X.ILI.WTR"
