"","E Week","1","","Cumulative","first","1Weeks"
"","2018*","2017","Median 2013 -2017","2018   2","017","Median2013 -2017"
"FOOD/WATER-BORNE DISEASES","","","","","",""
"Acute Hepatitis A","1","2","1","1","2","1"
"Acute Hepatitis E","0","3","2","0","3","2"
"Campylobacteriosis","12","7","12","12","7","12"
"CholeraParatyphoid","0   1","0   3","0   1","0   1","0   3","0   1"
"Poliomyelitis","0","0","0","0","0","0"
"SalmonellosisTyphoid","30   1","48   3","44   1","30   1","48   3","44   1"
"VECTOR-BORNE DISEASES","","","","","",""
"Chikungunya Fever","0","0","1","0","0","1"
"Dengue Fever","83","70","256","83","70","256"
"Dengue Haemorrhagic Fever","0","0","1","0","0","1"
"Japanese Encephalitis^","0","0","NA","0","0","NA"
"Leptospirosis^","1","2","NA","1","2","NA"
"Malaria","2","0","1","2","0","1"
"Murine Typhus^","0","0","NA","0","0","NA"
"Nipah virus infection","0","0","0","0","0","0"
"Plague","0","0","0","0","0","0"
"Yellow FeverZika Virus Infection","0   0","0   0","0   NA","0   0","0   0","0   NA"
"AIR/DROPLET-BORNE DISEASES","","","","","",""
"Avian Influenza","0","0","NA","0","0","NA"
"Diphtheria","0","0","0","0","0","0"
"Ebola Virus Disease","0","0","NA","0","0","NA"
"Haemophilus influenzae type bHand, Foot And Mouth DiseaseLegionellosis","0   326   0","1   501   0","0   417   0","0   326   50","1   01   0","0   417   0"
"Measles","1","3","0","1","3","0"
"MelioidosisMeningococcal Disease","1   0","2   0","2   0","1   0","2   0","2   0"
"Mumps","6","6","8","6","6","8"
"PertussisPneumococcal Disease (invasive)","2   1","1   1","1   3","2   1","1   1","1   3"
"RubellaSevere acute respiratory syndrome","0   0","0   0","0   0","0   0","0   0","0   0"
"Tetanus^","0","0","0","0","0",""
"OTHER DISEASES","","","","","",""
"Acute hepatitis B","1","2","0","1","2","0"
"Acute hepatitis C","0","1","1","0","1","1"
"Botulism^","0","0","NA","0","0","NA"
"MERS-CoV    Suspect cases tested","2","NA","NA","44","41","NA"
"Other patients tested","1","NA","NA","18","31","NA"
"POLYCLINIC ATTENDANCES - AVERAGAcute upper respiratory infections","E DAILY NUMBER3158","2721","2766","","","NA"
"Acute conjunctivitis","103","106","106","","","NA"
"Acute DiarrhoeaChickenpox","580   24","518   20","509   NA","","","NANA"
"HIV/STI/TB NOTIFICATIONS","2017","Dec","","Cumulative","2017",""
"HIV/AIDSLegally Notifiable STIs**","25   670","","","399   8399","",""
"Tuberculosis","135","","","1560","",""

