x,y
490,443
488,444
488,446
486,449
484,457
482,460
482,464
480,466
480,469
478,472
478,474
476,476
476,479
474,482
474,484
472,487
472,489
470,492
468,499
466,501
466,504
464,506
464,508
462,511
460,518
458,520
456,527
454,529
454,531
452,533
452,535
450,537
450,540
448,542
448,544
446,546
446,549
444,551
444,553
442,555
442,558
440,560
440,562
438,564
436,571
434,573
432,577
432,579
430,581
428,588
426,590
426,592
422,599
422,601
420,603
420,605
418,607
418,610
416,612
416,614
414,616
414,619
412,621
412,623
410,625
410,628
408,630
408,632
406,634
406,636
402,643
402,645
400,647
398,654
396,656
396,658
392,665
392,667
390,669
390,672
388,674
390,672
390,669
392,667
392,665
394,663
394,661
396,659
396,656
398,654
398,652
400,650
400,647
402,645
402,643
404,641
404,639
406,637
406,634
408,632
408,630
410,628
410,625
412,623
412,621
414,619
414,616
416,614
416,612
418,610
418,608
420,606
420,604
422,602
422,599
424,597
424,595
426,593
428,586
430,584
430,582
432,580
432,577
434,575
434,573
436,571
438,564
440,562
440,560
442,558
442,556
444,554
444,551
446,549
446,547
448,545
448,542
450,540
450,538
452,536
454,529
456,527
458,520
460,518
462,511
464,509
464,506
466,504
466,502
468,499
470,492
472,490
472,487
474,485
474,482
476,479
476,477
480,469
480,466
482,464
482,460
486,452
486,449
489,444
492,444
