x,y
512,446
512,450
514,452
514,456
516,458
516,461
518,464
518,468
520,469
520,472
524,480
524,483
526,485
526,488
528,491
528,494
530,496
530,499
534,507
534,510
538,518
538,521
540,523
540,527
542,529
542,532
544,534
544,538
548,546
548,549
552,557
552,560
554,563
554,566
558,574
558,578
560,580
560,583
562,586
562,589
564,592
564,596
566,598
566,601
568,604
568,607
570,609
570,612
572,615
572,618
574,621
574,625
576,627
576,630
578,633
578,637
580,639
580,643
582,646
582,649
584,652
584,656
586,658
586,661
588,664
588,667
590,669
590,676
590,669
588,667
588,663
586,661
586,657
584,656
584,651
582,649
582,645
580,643
580,639
578,637
578,632
576,630
576,627
574,625
574,620
572,618
572,614
570,612
570,609
568,607
568,603
566,601
566,597
564,596
564,591
562,589
562,586
560,583
560,579
558,578
558,573
556,571
556,568
554,566
554,562
552,560
552,556
550,554
550,551
548,549
548,545
546,543
546,540
544,538
544,534
542,532
542,529
540,527
540,523
538,521
538,518
536,515
536,512
534,510
534,506
532,504
532,501
530,499
530,496
528,494
528,491
526,488
526,484
524,483
524,480
522,477
522,474
520,472
520,469
518,467
518,464
516,461
516,458
514,456
514,452
512,450
