x,y
589,0
588,4
587,5
587,7
586,8
586,10
585,11
585,13
584,14
584,17
583,18
582,23
580,26
579,33
578,34
577,39
574,45
574,49
571,55
571,57
569,61
569,64
568,65
568,67
566,70
566,72
564,76
564,80
561,86
561,88
559,91
559,95
557,98
556,103
554,106
554,110
553,111
553,113
551,116
551,118
549,122
549,126
547,129
547,131
544,137
544,140
543,141
541,149
539,152
539,157
537,160
537,162
534,168
534,172
533,173
533,175
532,176
532,178
531,179
531,181
529,185
529,189
528,190
528,192
526,196
526,199
524,202
524,207
523,208
523,211
522,212
522,215
521,216
521,219
520,220
520,224
519,225
519,231
519,225
520,224
520,220
521,219
521,216
522,215
522,212
523,211
523,208
524,207
524,202
526,199
526,196
527,195
527,193
529,189
530,182
531,181
531,179
532,178
532,176
534,172
534,168
537,162
537,160
539,157
539,152
541,149
541,147
542,146
542,144
544,140
544,137
546,134
547,129
549,126
550,119
554,110
554,106
556,103
557,98
559,95
559,92
560,91
561,86
564,80
564,76
565,75
566,70
568,67
571,55
574,49
574,45
577,39
577,37
579,33
579,30
580,29
580,26
582,23
582,21
584,17
584,14
585,13
585,11
586,10
586,8
587,7
587,5
588,4
