x,y
498,446
498,456
497,457
497,472
496,473
496,490
495,491
495,515
494,516
494,528
493,529
493,542
492,543
492,553
491,554
491,564
490,565
490,584
489,585
489,593
488,594
488,607
487,608
487,617
486,618
486,628
485,629
485,645
484,646
484,654
483,655
483,666
482,667
482,676
482,667
483,666
483,655
484,654
484,646
485,645
485,629
486,628
486,618
487,617
487,608
488,607
488,594
489,593
489,585
490,584
490,565
491,564
491,554
492,553
492,543
493,542
493,529
494,528
494,516
495,515
495,491
496,490
496,473
497,472
497,457
498,456
