geo_city,tw_city,geo_town,tw_town
Liujiao Township,Chiayi County,Liujiao,Liujiao Township
Taibao City,Chiayi County,Taibao,Taibao City
Sanxing Township,Yilan County,Sanxing,Sanxing Township
Erlun Township,Yunlin County,Erlun,Erlun Township
891,Kinmen County,Jinhu Township,Jinhu Township
Kouhu Township,Yunlin County,Kouhu,Kouhu Township
Taoyuan District,Taoyuan City,Taoyuan,Taoyuan District
Douliu City,Yunlin County,Douliu,Douliu City
,Lienchiang County,Beigan,Beigan Township
Shetou Township,Changhua County,Shetou,Shetou Township
Lunbei Township,Yunlin County,Lunbei,Lunbei Township
893,Kinmen County,Jincheng,Jincheng Township
Dalin Township,Chiayi County,Dalin,Dalin Township
Kaohsiung City,Kaohsiung City,Jiading District,Qieding District
Touwu Township,Miaoli County,Touwu,Touwu Township
Toufen City,Miaoli County,Toufen,Toufen Township
890,Kinmen County,Jinsha Township,Jinsha Township
894,Kinmen County,Lieyu Township,Lieyu Township
Toucheng Township,Yilan County,Toucheng,Toucheng Township
Hengchun Township,Pingtung County,Hengchun,Hengchun Township
Shuishang Township,Chiayi County,Shuishang,Shuishang Township
892,Kinmen County,Jinning Township,Jinning Township
Mailiao Township,Yunlin County,Mailiao,Mailiao Township
Jiji Township,Nantou County,Jiji,Jiji Township
Zhuolan Township,Miaoli County,Zhuolan,Zhuolan Township
Changhua County,Changhua County,Yuanlin City,Yuanlin Township
Baozhong Township,Yunlin County,Baozhong,Baozhong Township
896,Kinmen County,Wuqiu Township,Wuqiu Township
Gukeng Township,Yunlin County,Gukeng,Gukeng Township
