Month/Week,"#",,,,,,,,,,,,,
"",,Flu A,,,,,,,Metapneu,,,Corona,Corona,Corona
"",,(H1N1),,,,,,,,,,,,
"",,,Flu A (H3),Flu B,RSV A,Paraflu 1,Paraflu 3,Rhino,,,,,,
"",,,,,,,,,mo,,,,,
"",,,,,,,,,,Adeno B,Adeno E,,,
"",,,,,,,,,,,,OC43,NL63,229E
May,,,,,,,,,,,,,,
Current,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9,0,0,1,0,0,0,0,0,0,0,1,0,0
April,,,,,,,,,,,,,,
17,20,0,1,2,0,0,0,0,0,0,2,0,0,0
16,22,0,1,0,0,0,0,1,1,0,2,0,1,0
15,31,1,0,3,0,1,0,2,1,1,3,1,1,2
March,,,,,,,,,,,,,,
14,34,0,1,7,1,0,1,3,1,1,0,0,1,0
