Hamilton County (Chattanooga),4,4,.,0,751,0.0%
East Tennessee Region,6,7,.,9,2542,0.4%
Jackson-Madison County,1,1,.,4,581,0.7%
Knoxville-Knox County,3,4,.,6,1460,0.4%
Mid-Cumberland Region,8,10,.,3,388,0.8%
Shelby County (Memphis),2,10,.,0,232,0.0%
Nashville-Davidson County,2,6,.,2,213,0.9%
Northeast Region,1,2,.,0,59,0.0%
South Central Region,3,3,.,1,184,0.5%
Southeast Region,5,5,.,0,828,0.0%
Sullivan County (Tri-Cities),1,2,.,0,328,0.0%
Upper Cumberland Region,3,4,.,0,388,0.0%
West Tennessee Region,6,6,.,1,314,0.3%
