Month/Week,"#",,,,,,,,,,,,,,,
"",,Flu A,,,,,,,,Metapne,,,,Corona,Corona,Corona
"",,(H1N1),,,,,,,,,,,,,,
"",,,Flu B,RSV A,RSV B,Paraflu 1,Paraflu 3,Paraflu 4,Rhino,,,,,,,
"",,,,,,,,,,umo,,,,,,
"",,,,,,,,,,,Adeno B,Adeno C,Adeno E,,,
"",,,,,,,,,,,,,,OC43,NL63,HKU1
December,,,,,,,,,,,,,,,,
Current,117,34,0,3,6,0,0,0,10,1,1,2,0,0,1,2
49,111,31,1,1,7,3,0,1,9,0,0,1,0,1,0,1
November,,,,,,,,,,,,,,,,
48,58,7,0,2,3,1,1,0,4,0,1,0,1,0,0,0
47,73,6,1,2,2,2,1,0,9,0,0,0,1,0,0,0
46,63,2,0,0,1,3,0,1,16,0,0,2,0,0,0,1
45,57,2,0,2,1,6,0,0,9,0,0,0,0,0,0,0
