Hamilton County (Chattanooga),3,4,.,0,346,0.0%
East Tennessee Region,5,8,.,1,1259,0.1%
Jackson-Madison County,0,2,.,0,0,0.0% n/a
Knoxville-Knox County,3,4,.,0,760,0.0%
Mid-Cumberland Region,9,10,.,0,435,0.0%
Shelby County (Memphis),0,5,.,0,0,0.0% n/a
Nashville-Davidson County,2,5,.,1,104,1.0% higher
Northeast Region,3,3,.,0,192,0.0%
South Central Region,3,3,.,0,231,0.0%
Southeast Region,5,5,.,0,435,0.0%
Sullivan County (Tri-Cities),2,2,.,0,375,0.0%
Upper Cumberland Region,1,4,.,0,24,0.0%
West Tennessee Region,5,6,.,0,212,0.0%
