Hamilton County (Chattanooga),3,4,.,0,482,0.0% lower
East Tennessee Region,4,7,.,0,1038,0.0% lower
Jackson-Madison County,1,1,.,15,539,2.8% higher
Knoxville-Knox County,3,3,.,1,668,0.2% lower
Mid-Cumberland Region,7,11,.,0,266,0.0%
Shelby County (Memphis),7,12,.,32,639,5.0% higher
Nashville-Davidson County,2,6,.,0,222,0.0%
Northeast Region,2,4,.,0,124,0.0%
South Central Region,3,3,.,0,197,0.0%
Southeast Region,4,4,.,0,124,0.0%
Sullivan County (Tri-Cities),0,1,.,0,0,0.0% n/a
Upper Cumberland Region,4,4,.,0,436,0.0% lower
West Tennessee Region,6,6,.,0,215,0.0%
