Hamilton County (Chattanooga),3,4,.,0,493,0.0%
East Tennessee Region,7,8,.,8,2271,0.4% higher
Jackson-Madison County,0,2,.,0,0,0.0% n/a
Knoxville-Knox County,3,4,.,0,1620,0.0%
Mid-Cumberland Region,9,10,.,1,854,0.1%
Shelby County (Memphis),0,5,.,0,0,0.0% n/a
Nashville-Davidson County,3,5,.,3,182,1.7% higher
Northeast Region,3,3,.,0,273,0.0%
South Central Region,3,3,.,0,211,0.0%
Southeast Region,5,5,.,0,572,0.0%
Sullivan County (Tri-Cities),1,2,.,0,359,0.0%
Upper Cumberland Region,4,4,.,1,530,0.2%
West Tennessee Region,6,6,.,0,337,0.0%
