Hamilton County (Chattanooga),2,4,.,0,368,0.0%
East Tennessee Region,6,7,.,0,1936,0.0%
Jackson-Madison County,1,1,.,0,352,0.0%
Knoxville-Knox County,3,4,.,0,459,0.0%
Mid-Cumberland Region,8,10,.,0,454,0.0%
Shelby County (Memphis),1,10,.,0,112,0.0%
Nashville-Davidson County,5,6,.,0,869,0.0%
Northeast Region,2,3,.,0,133,0.0%
South Central Region,3,3,.,0,142,0.0%
Southeast Region,4,5,.,0,132,0.0%
Sullivan County (Tri-Cities),0,2,.,0,0,0.0%
Upper Cumberland Region,3,4,.,0,338,0.0%
West Tennessee Region,6,6,.,0,254,0.0%
