Month/Week,"#",,,,,,,,,,,,,,,,
"",,Flu A,,,,,,,,Meta,Adeno,Adeno,Adeno,Corona,Corona,Corona,Corona
"",,(H1N1),,,,,,,,,,,,,,,
"",,,Flu A(H3),Flu B,RSV A,RSV B,Paraflu 2,Paraflu 3,Rhino,,,,,,,,
"",,,,,,,,,,pnuemo,B,C,E,OC43,NL63,229E,HKU1
March,,,,,,,,,,,,,,,,,
Current,50,1,3,6,5,1,0,0,8,1,1,0,4,1,1,1,0
February,,,,,,,,,,,,,,,,,
9,56,2,4,10,0,0,1,0,2,2,1,0,0,0,3,1,0
8,52,2,7,7,1,0,0,0,5,2,4,0,0,0,1,1,0
7,79,0,10,15,5,0,0,1,10,4,2,0,3,3,1,1,1
6,69,1,9,11,2,1,0,0,4,2,0,0,0,4,1,1,0
January,,,,,,,,,,,,,,,,,
5,82,1,21,12,7,0,0,0,2,0,0,0,0,5,0,0,0
