Hamilton County (Chattanooga),4,4,.,0,697,0.0%
East Tennessee Region,4,7,.,5,1438,0.4%
Jackson-Madison County,0,2,.,0,0,0.0% n/a
Knoxville-Knox County,3,4,.,7,1588,0.4%
Mid-Cumberland Region,7,11,.,3,888,0.3%
Shelby County (Memphis),2,12,.,1,203,0.5%
Nashville-Davidson County,3,5,.,4,655,0.6%
Northeast Region,2,3,.,1,169,0.6%
South Central Region,3,3,.,0,264,0.0%
Southeast Region,3,5,.,0,274,0.0%
Sullivan County (Tri-Cities),1,2,.,0,317,0.0%
Upper Cumberland Region,4,4,.,0,549,0.0%
West Tennessee Region,6,6,.,0,305,0.0%
