Hamilton County (Chattanooga),2,4,.,0,455,0.0%
East Tennessee Region,7,7,.,2,2696,0.1%
Jackson-Madison County,1,1,.,1,512,0.2%
Knoxville-Knox County,4,4,.,0,1111,0.0%
Mid-Cumberland Region,7,10,.,1,465,0.2%
Shelby County (Memphis),2,10,.,0,569,0.0%
Nashville-Davidson County,3,6,.,0,372,0.0%
Northeast Region,1,3,.,0,97,0.0%
South Central Region,3,3,.,0,195,0.0%
Southeast Region,4,5,.,0,508,0.0%
Sullivan County (Tri-Cities),1,2,.,0,323,0.0%
Upper Cumberland Region,3,4,.,0,366,0.0%
West Tennessee Region,4,6,.,0,226,0.0%
