Hamilton County (Chattanooga),3,4,.,0,333,0.0% lower
East Tennessee Region,5,7,.,21,1931,1.1% lower
Jackson-Madison County,1,1,.,76,642,11.8% higher
Knoxville-Knox County,3,3,.,8,924,0.9% lower
Mid-Cumberland Region,6,11,.,2,507,0.4% lower
Shelby County (Memphis),7,11,.,58,925,6.3% higher
Nashville-Davidson County,4,8,.,26,159,16.4% higher
Northeast Region,3,4,.,0,103,0.0%
South Central Region,3,3,.,0,105,0.0%
Southeast Region,3,5,.,2,197,1.0%
Sullivan County (Tri-Cities),1,1,.,0,227,0.0% lower
Upper Cumberland Region,4,4,.,1,378,0.3% lower
West Tennessee Region,6,6,.,0,219,0.0% lower
