Hamilton County (Chattanooga),3,4,.,0,562,0.0%
East Tennessee Region,7,7,.,1,2337,0.0%
Jackson-Madison County,1,2,.,3,543,0.6% higher
Knoxville-Knox County,4,4,.,0,1479,0.0%
Mid-Cumberland Region,6,10,.,0,566,0.0%
Shelby County (Memphis),0,5,.,0,0,0.0% n/a
Nashville-Davidson County,3,5,.,0,443,0.0%
Northeast Region,3,3,.,0,230,0.0%
South Central Region,3,3,.,0,224,0.0%
Southeast Region,5,5,.,0,759,0.0%
Sullivan County (Tri-Cities),1,2,.,0,162,0.0%
Upper Cumberland Region,3,4,.,0,528,0.0%
West Tennessee Region,6,6,.,0,331,0.0%
