Hamilton County (Chattanooga),4,4,.,3,767,0.4%
East Tennessee Region,8,8,.,13,2968,0.4%
Jackson-Madison County,2,2,.,11,620,1.8% higher
Knoxville-Knox County,3,4,.,13,1710,0.8%
Mid-Cumberland Region,9,10,.,9,1214,0.7%
Shelby County (Memphis),1,9,.,0,200,0.0%
Nashville-Davidson County,3,6,.,4,562,0.7%
Northeast Region,3,3,.,0,204,0.0%
South Central Region,2,3,.,0,90,0.0%
Southeast Region,5,5,.,1,761,0.1%
Sullivan County (Tri-Cities),1,2,.,0,307,0.0%
Upper Cumberland Region,4,4,.,1,414,0.2%
West Tennessee Region,6,6,.,0,284,0.0%
