Hamilton County (Chattanooga),4,4,.,0,648,0.0%
East Tennessee Region,4,7,.,3,1275,0.2%
Jackson-Madison County,1,2,.,0,423,0.0%
Knoxville-Knox County,1,4,.,0,379,0.0%
Mid-Cumberland Region,10,11,.,2,708,0.3%
Shelby County (Memphis),2,12,.,0,232,0.0%
Nashville-Davidson County,3,5,.,0,312,0.0%
Northeast Region,1,3,.,0,82,0.0%
South Central Region,3,3,.,0,159,0.0%
Southeast Region,3,5,.,0,79,0.0%
Sullivan County (Tri-Cities),1,2,.,0,306,0.0%
Upper Cumberland Region,4,4,.,0,424,0.0%
West Tennessee Region,4,6,.,0,178,0.0%
