Hamilton County (Chattanooga),3,4,.,0,444,0.0%
East Tennessee Region,8,8,.,8,2289,0.4%
Jackson-Madison County,1,2,.,0,454,0.0%
Knoxville-Knox County,3,4,.,5,1209,0.4%
Mid-Cumberland Region,8,10,.,1,926,0.1%
Shelby County (Memphis),1,5,.,0,69,0.0%
Nashville-Davidson County,3,5,.,0,239,0.0%
Northeast Region,3,3,.,0,268,0.0%
South Central Region,3,3,.,0,195,0.0%
Southeast Region,5,5,.,0,769,0.0%
Sullivan County (Tri-Cities),1,2,.,0,315,0.0%
Upper Cumberland Region,4,4,.,0,443,0.0%
West Tennessee Region,6,6,.,0,260,0.0%
