Month/Week,"#",,,,,,,,,,,,,,,,,
"",,Flu A,Flu A,,,,,,,,,Meta-,Adeno B,Adeno,Corona,Corona,Corona,Corona
"",,(H1N1),(H3),,,,,,,,,,,,,,,
"",,,,Flu B,RSV A,RSV B,Paraflu 1,Paraflu 2,Paraflu 3,Paraflu 4,Rhino,,,,,,,
"",,,,,,,,,,,,pneumo,or E,C,OC43,NL63,229E,HKU1
March,,,,,,,,,,,,,,,,,,
Current,31,1,0,2,0,0,0,0,2,0,2,2,0,0,0,0,2,1
12,42,1,2,0,0,1,0,0,0,0,2,1,0,1,1,1,0,1
11,50,2,0,3,0,1,0,0,1,0,2,7,0,1,6,1,0,0
10,64,0,1,3,1,2,0,0,1,0,2,5,0,0,4,3,0,5
February,,,,,,,,,,,,,,,,,,
9,75,5,0,2,0,4,0,0,0,1,3,3,2,0,3,3,3,2
8,88,4,1,2,1,1,1,1,1,2,7,3,0,2,9,4,3,7
