Hamilton County (Chattanooga),3,4,.,1,334,0.3%
East Tennessee Region,6,7,.,50,2198,2.3% higher
Jackson-Madison County,1,1,.,4,337,1.2%
Knoxville-Knox County,2,4,.,11,939,1.2%
Mid-Cumberland Region,6,10,.,1,440,0.2% lower
Shelby County (Memphis),1,3,.,0,74,0.0%
Nashville-Davidson County,2,5,.,4,237,1.7%
Northeast Region,2,3,.,2,104,1.9%
South Central Region,3,3,.,0,113,0.0%
Southeast Region,3,5,.,2,167,1.2%
Sullivan County (Tri-Cities),2,2,.,1,313,0.3%
Upper Cumberland Region,4,4,.,0,389,0.0% lower
West Tennessee Region,6,6,.,0,189,0.0%
