Hamilton County (Chattanooga),4,4,.,1,844,0.1% lower
East Tennessee Region,7,8,.,38,2262,1.7% higher
Jackson-Madison County,2,2,.,12,695,1.7% higher
Knoxville-Knox County,4,4,.,12,2020,0.6%
Mid-Cumberland Region,5,10,.,7,813,0.9%
Shelby County (Memphis),0,9,.,0,0,0.0%
Nashville-Davidson County,2,6,.,0,148,0.0%
Northeast Region,3,3,.,0,226,0.0%
South Central Region,3,3,.,2,175,1.1%
Southeast Region,4,5,.,0,427,0.0%
Sullivan County (Tri-Cities),1,2,.,0,431,0.0%
Upper Cumberland Region,4,4,.,3,629,0.5%
West Tennessee Region,6,6,.,2,400,0.5%
