Hamilton County (Chattanooga),4,4,.,0,755,0.0%
East Tennessee Region,6,8,.,4,2500,0.2%
Jackson-Madison County,1,2,.,6,488,1.2% higher
Knoxville-Knox County,1,4,.,2,1103,0.2%
Mid-Cumberland Region,8,10,.,3,663,0.5%
Shelby County (Memphis),2,14,.,0,792,0.0%
Nashville-Davidson County,2,6,.,3,687,0.4%
Northeast Region,2,3,.,0,173,0.0%
South Central Region,3,3,.,0,189,0.0%
Southeast Region,5,5,.,0,745,0.0%
Sullivan County (Tri-Cities),1,2,.,0,319,0.0%
Upper Cumberland Region,4,4,.,0,515,0.0%
West Tennessee Region,6,6,.,1,300,0.3%
