Hamilton County (Chattanooga),4,4,.,1,826,0.1%
East Tennessee Region,7,8,.,5,1912,0.3%
Jackson-Madison County,0,2,.,0,0,0.0% n/a
Knoxville-Knox County,4,4,.,4,1725,0.2%
Mid-Cumberland Region,9,10,.,8,951,0.8% higher
Shelby County (Memphis),0,5,.,0,0,0.0% n/a
Nashville-Davidson County,3,5,.,5,345,1.5% higher
Northeast Region,2,3,.,2,156,1.3% higher
South Central Region,3,3,.,0,219,0.0%
Southeast Region,5,5,.,1,728,0.1%
Sullivan County (Tri-Cities),2,2,.,0,417,0.0%
Upper Cumberland Region,4,4,.,0,565,0.0%
West Tennessee Region,6,6,.,0,306,0.0%
