Hamilton County (Chattanooga),2,4,.,0,77,0.0%
East Tennessee Region,7,7,.,0,2874,0.0%
Jackson-Madison County,1,1,.,0,554,0.0%
Knoxville-Knox County,2,4,.,0,345,0.0%
Mid-Cumberland Region,9,10,.,0,550,0.0%
Shelby County (Memphis),2,10,.,0,758,0.0%
Nashville-Davidson County,3,6,.,0,393,0.0%
Northeast Region,2,3,.,1,201,0.5% higher
South Central Region,3,3,.,0,195,0.0%
Southeast Region,5,5,.,0,489,0.0%
Sullivan County (Tri-Cities),1,2,.,0,327,0.0%
Upper Cumberland Region,4,4,.,0,568,0.0%
West Tennessee Region,4,6,.,0,283,0.0%
