Hamilton County (Chattanooga),3,4,.,1,761,0.1%
East Tennessee Region,5,7,.,8,1482,0.5%
Jackson-Madison County,1,2,.,10,111,9.0% higher
Knoxville-Knox County,2,4,.,8,1418,0.6%
Mid-Cumberland Region,4,10,.,3,262,1.2%
Shelby County (Memphis),1,5,.,1,109,0.9%
Nashville-Davidson County,3,5,.,2,397,0.5%
Northeast Region,3,3,.,0,264,0.0%
South Central Region,3,3,.,0,171,0.0%
Southeast Region,5,5,.,3,746,0.4%
Sullivan County (Tri-Cities),1,2,.,0,306,0.0%
Upper Cumberland Region,4,4,.,1,521,0.2%
West Tennessee Region,5,6,.,0,276,0.0%
