Hamilton County (Chattanooga),2,4,.,0,325,0.0%
East Tennessee Region,6,7,.,0,2157,0.0%
Jackson-Madison County,1,1,.,0,527,0.0%
Knoxville-Knox County,4,4,.,1,1112,0.1%
Mid-Cumberland Region,10,10,.,1,654,0.2% higher
Shelby County (Memphis),1,10,.,0,584,0.0%
Nashville-Davidson County,2,6,.,0,115,0.0%
Northeast Region,1,3,.,0,77,0.0%
South Central Region,3,3,.,0,182,0.0%
Southeast Region,5,5,.,0,464,0.0%
Sullivan County (Tri-Cities),1,2,.,0,341,0.0%
Upper Cumberland Region,4,4,.,0,573,0.0%
West Tennessee Region,6,6,.,0,347,0.0%
