Hamilton County (Chattanooga),4,4,.,0,656,0.0%
East Tennessee Region,4,7,.,6,1631,0.4%
Jackson-Madison County,1,2,.,3,595,0.5%
Knoxville-Knox County,3,4,.,7,1382,0.5%
Mid-Cumberland Region,6,11,.,0,713,0.0%
Shelby County (Memphis),2,12,.,1,193,0.5%
Nashville-Davidson County,1,5,.,0,32,0.0%
Northeast Region,3,3,.,0,240,0.0%
South Central Region,3,3,.,0,271,0.0%
Southeast Region,2,5,.,0,139,0.0%
Sullivan County (Tri-Cities),0,2,.,0,0,0.0% n/a
Upper Cumberland Region,4,4,.,1,608,0.2%
West Tennessee Region,5,6,.,0,275,0.0%
