Hamilton County (Chattanooga),4,4,.,0,828,0.0%
East Tennessee Region,6,8,.,14,2092,0.7% higher
Jackson-Madison County,1,2,.,1,547,0.2%
Knoxville-Knox County,3,4,.,1,1857,0.1%
Mid-Cumberland Region,7,10,.,2,825,0.2%
Shelby County (Memphis),1,5,.,0,72,0.0%
Nashville-Davidson County,3,5,.,1,344,0.3%
Northeast Region,3,3,.,0,223,0.0%
South Central Region,3,3,.,0,166,0.0%
Southeast Region,5,5,.,0,870,0.0%
Sullivan County (Tri-Cities),1,2,.,0,425,0.0%
Upper Cumberland Region,4,4,.,0,497,0.0%
West Tennessee Region,5,6,.,0,198,0.0%
