Month/Week,"#",,,,,,,,,,,,,,
"",,Flu A,,,,,,,Metapneu,,,,Corona,Corona,Corona
"",,(H1N1),,,,,,,,,,,,,
"",,,Flu A (H3),Flu B,RSV A,Paraflu 1,Paraflu 3,Rhino,,,,,,,
"",,,,,,,,,mo,,,,,,
"",,,,,,,,,,Adeno B,Adeno C,Adeno E,,,
"",,,,,,,,,,,,,OC43,NL63,229E
April,,,,,,,,,,,,,,,
Current,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,19,0,1,0,0,0,0,1,1,0,0,2,0,1,0
15,31,1,0,3,0,1,0,2,1,1,0,3,1,1,2
March,,,,,,,,,,,,,,,
14,34,0,1,7,1,0,1,3,1,1,0,0,0,1,0
13,29,1,2,7,0,0,0,0,2,0,1,0,0,0,0
12,44,1,1,6,1,0,0,2,2,0,0,0,0,2,0
