Hamilton County (Chattanooga),4,4,.,0,823,0.0% lower
East Tennessee Region,4,7,.,15,1372,1.1% higher
Jackson-Madison County,1,2,.,10,614,1.6% higher
Knoxville-Knox County,3,4,.,12,1880,0.6%
Mid-Cumberland Region,11,11,.,10,1354,0.7%
Shelby County (Memphis),7,12,.,10,980,1.0%
Nashville-Davidson County,3,5,.,0,521,0.0%
Northeast Region,2,3,.,0,159,0.0%
South Central Region,3,3,.,0,260,0.0%
Southeast Region,4,5,.,0,432,0.0%
Sullivan County (Tri-Cities),0,2,.,0,0,0.0% n/a
Upper Cumberland Region,4,4,.,0,542,0.0%
West Tennessee Region,4,6,.,0,199,0.0%
