Hamilton County (Chattanooga),3,4,.,0,519,0.0%
East Tennessee Region,7,8,.,8,2719,0.3%
Jackson-Madison County,1,2,.,0,108,0.0%
Knoxville-Knox County,4,4,.,13,1892,0.7% higher
Mid-Cumberland Region,9,10,.,14,1102,1.3% higher
Shelby County (Memphis),2,9,.,0,684,0.0%
Nashville-Davidson County,1,6,.,0,121,0.0%
Northeast Region,2,3,.,0,158,0.0%
South Central Region,3,3,.,0,209,0.0%
Southeast Region,5,5,.,3,817,0.4%
Sullivan County (Tri-Cities),1,2,.,0,359,0.0%
Upper Cumberland Region,4,4,.,0,672,0.0%
West Tennessee Region,6,6,.,0,368,0.0%
