Hamilton County (Chattanooga),2,4,.,0,107,0.0%
East Tennessee Region,5,7,.,25,1376,1.8%
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,2,3,.,4,432,0.9%
Mid-Cumberland Region,7,11,.,2,638,0.3% lower
Shelby County (Memphis),7,12,.,36,677,5.3% higher
Nashville-Davidson County,2,6,.,0,260,0.0%
Northeast Region,3,4,.,0,206,0.0%
South Central Region,3,3,.,0,213,0.0%
Southeast Region,4,4,.,0,185,0.0%
Sullivan County (Tri-Cities),0,1,.,0,0,0.0% n/a
Upper Cumberland Region,4,4,.,1,555,0.2% lower
West Tennessee Region,6,6,.,0,308,0.0% lower
