Hamilton County (Chattanooga),4,4,.,1,730,0.1% lower
East Tennessee Region,6,7,.,88,2194,4.0% higher
Jackson-Madison County,1,1,.,58,541,10.7% higher
Knoxville-Knox County,1,3,.,5,78,6.4%
Mid-Cumberland Region,7,11,.,1,559,0.2% lower
Shelby County (Memphis),8,12,.,49,702,7.0% higher
Nashville-Davidson County,3,6,.,3,703,0.4% lower
Northeast Region,4,4,.,0,337,0.0% lower
South Central Region,3,3,.,1,201,0.5% lower
Southeast Region,2,4,.,0,242,0.0% lower
Sullivan County (Tri-Cities),0,1,.,0,0,0.0% n/a
Upper Cumberland Region,4,4,.,0,528,0.0% lower
West Tennessee Region,6,6,.,2,302,0.7% lower
