Hamilton County (Chattanooga),3,4,.,4,556,0.7%
East Tennessee Region,6,8,.,107,2279,4.7% higher
Jackson-Madison County,2,2,.,7,571,1.2%
Knoxville-Knox County,3,4,.,12,1861,0.6% lower
Mid-Cumberland Region,8,10,.,3,578,0.5% lower
Shelby County (Memphis),0,5,.,0,0,n/a
Nashville-Davidson County,2,6,.,2,246,0.8%
Northeast Region,3,3,.,3,297,1.0%
South Central Region,2,3,.,1,152,0.7%
Southeast Region,5,5,.,8,807,1.0%
Sullivan County (Tri-Cities),2,2,.,0,582,0.0% lower
Upper Cumberland Region,1,4,.,0,31,0.0%
West Tennessee Region,5,6,.,1,268,0.4%
