Hamilton County (Chattanooga),4,4,.,0,805,0.0% lower
East Tennessee Region,5,7,.,12,1729,0.7%
Jackson-Madison County,1,2,.,8,604,1.3% higher
Knoxville-Knox County,1,4,.,7,1125,0.6%
Mid-Cumberland Region,10,11,.,10,1264,0.8%
Shelby County (Memphis),7,12,.,9,1014,0.9%
Nashville-Davidson County,3,5,.,13,1168,1.1% higher
Northeast Region,3,3,.,0,257,0.0%
South Central Region,3,3,.,1,255,0.4%
Southeast Region,4,5,.,0,469,0.0%
Sullivan County (Tri-Cities),1,2,.,0,181,0.0%
Upper Cumberland Region,4,4,.,0,547,0.0%
West Tennessee Region,5,6,.,1,286,0.4%
