"Country.or.Subregion","Week","Probable","Lab.Confirm","Serotype","Severe.Dengue","Deaths","Population.x.1000"
"Canada","Week 32",0,0,NA,0,0,NA
"United States","Week 32",93,93,"DEN",0,0,325128
"Belize","Week 23",4,4,"DEN",NA,0,348
"Costa Rica","Week 30",3458,NA,"DEN 1,2",0,0,5002
"El Salvador","Week 32",2539,104,"DEN 2",3,0,6426
"Guatemala","Week 31",2061,386,"DEN 1,2,3,4",17,NA,16255
"Honduras","Week 32",3877,0,"DEN 1, 2, 3",69,0,8721
"Mexico","Week 32",7073,3014,"DEN 1,2,3",911,9,125236
"Nicaragua","Week 32",43956,1665,"DEN 2",NA,2,6257
"Panama","Week 31",4232,1943,"DEN 1,2",8,0,3988
"Bolivia","Week 32",7910,NA,NA,77,NA,11025
"Colombia","Week 32",18526,8357,"DEN",196,36,49529
"Ecuador","Week 28",9713,9713,"DEN",9,4,16226
"Peru","Week 32",71447,23358,"DEN 2,3",234,79,31161
"Venezuela","Week 17",2722,309,"DEN",7,0,31028
"Argentina","Week 32",7618,254,"DEN 1,2,3",0,0,42155
"Brazil","Week 31",210627,NA,"DEN 1,2,3,4",154,72,203657
"Chile","Week 28",5,5,"DEN 2",0,0,17924
"Paraguay","Week 31",1327,305,"DEN 1",NA,0,7033
"Uruguay","Week 32",0,0,NA,0,0,3430
"Cuba","Week 25",270,NA,"DEN 2,3",NA,NA,11249
"Dominican Republic","Week 30",729,NA,"DEN",41,0,10652
"Puerto Rico","Week 32",9,9,"DEN 2",0,0,3680
"American Virgin Islands","Week 32",1,1,"DEN",0,0,104
"Anguilla","Week 12",15,2,"DEN",0,0,16
"Antigua & Barbuda","Week 24",1,0,NA,0,0,92
"Aruba","Week 24",661,8,"DEN",0,0,112
"Bahamas","Week 20",4,0,NA,0,0,388
"Barbados","Week 20",151,29,"DEN",0,0,291
"Bermuda","Week 24",0,0,NA,0,0,70
"British Virgin Islands","Week 20",28,28,"DEN",0,0,33
"Cayman Islands","Week 24",12,0,NA,0,0,56
"Curacao","Week 00",0,0,NA,0,0,148
"Dominica","Week 28",22,0,NA,0,0,74
"French Guiana","Week 17",165,0,NA,0,0,239
"Grenada","Week 20",59,59,"DEN",0,0,111
"Guadaloupe","Week 26",83,0,NA,0,0,411
"Guyana","Week 00",NA,NA,NA,0,0,808
"Haiti","Week 00",NA,NA,NA,0,0,10604
"Jamaica","Week 28",64,11,"DEN",0,0,2813
"Martinique","Week 26",73,1,"DEN 2",0,0,398
"Montserrat","Week 24",0,0,NA,0,0,5
"Netherlands Antilles","Week 00",NA,NA,NA,0,0,225
"St. Bartolome","Week 26",30,0,NA,0,0,9
"St. Kitts & Nevis","Week 24",4,0,NA,0,0,52
"St. Lucia","Week 24",14,14,"DEN",0,0,164
"St. Martin","Week 26",114,0,NA,0,0,41
"St. Vincent & the Grenadines","Week 16",2,1,NA,0,0,103
"Suriname","Week 00",NA,NA,NA,0,0,548
"Trinidad & Tobago","Week 19",61,0,NA,0,0,1347
"Turks & Caicos Islands","Week 24",157,157,"DEN",0,0,50
