"Country.or.Subregion","Week","Probable","Lab.Confirm","Serotype","Severe.Dengue","Deaths","Population.x.1000"
"Canada","39",0,0,"0",0,0,0
"United States of America","39",167,167,"DEN",0,0,325128
"Belize","38",2626,18,"DEN",2,0,348
"Costa Rica","34",4254,0,"DEN 1,2",0,0,5002
"El Salvador","39",3203,159,"DEN 2",4,0,6246
"Guatemala","37",2831,658,"DEN 1,2,3,4",30,9,16255
"Honduras","39",4503,0,"DEN 1,2,3",89,0,8721
"Mexico","39",49231,7538,"DEN 1,2,3",237,17,125236
"Nicaragua","38",51291,1897,"DEN 2",0,2,6257
"Panama","37",5540,2539,"DEN 1,2",12,0,3988
"Bolivia","39",8954,852,"DEN",71,2,11025
"Colombia","39",21646,5446,"DEN 1,2,3,4",223,38,49529
"Ecuador","39",10828,10828,"DEN",15,4,16226
"Peru","39",73170,24688,"DEN 2,3",234,82,31161
"Venezuela","31",4929,860,"DEN",19,0,31028
"Argentina","38",304,253,"DEN 1,3",0,0,42155
"Brazil","35",219040,0,"DEN 1,2,3,4",184,88,203657
"Chile","26",5,5,"DEN 2",0,0,17924
"Paraguay","37",1382,313,"DEN 1",0,0,7033
"Uruguay","39",0,0,NA,0,0,3430
"Cuba","25",270,270,"DEN 2,3",0,0,11249
"Dominican Republic","38",931,18,"DEN",59,1,10652
"Puerto Rico","39",9,9,"DEN 2",0,0,3680
"American Virgin Islands","39",1,1,"DEN",0,0,104
"Anguilla","28",18,2,"DEN",0,0,16
"Antigua & Barbuda","28",1,0,"DEN",0,0,92
"Aruba","26",688,9,"DEN",0,0,112
"Bahamas","28",4,0,"DEN",0,0,388
"Barbados","28",192,29,"DEN",0,0,291
"Bermuda","28",0,0,NA,0,0,70
"Bonaire, Saba and St. Eustatius","0",0,0,NA,0,0,0
"British Virgin Islands","32",42,42,"DEN",0,0,33
"Cayman Islands","28",23,0,"DEN",0,0,56
"Curacao","0",0,0,NA,0,0,0
"Dominica","28",31,0,"DEN",0,0,74
"French Guiana","37",625,0,"DEN",0,0,239
"Grenada","28",80,80,"DEN",0,0,111
"Guadaloupe","30",455,0,"DEN",0,0,411
"Haiti","0",0,0,NA,0,0,0
"Jamaica","38",70,14,"DEN 3",0,0,2813
"Martinique","30",72,1,"DEN 2",0,0,398
"Montserrat","28",0,0,NA,0,0,5
"St. Bartolome","30",35,0,"DEN",0,0,9
"St. Kitts & Nevis","28",7,0,"DEN",0,0,52
"St. Lucia","24",14,14,"DEN",0,0,164
"St. Martin","30",157,0,"DEN",0,0,41
"St. Vincent & the Grenadines","28",3,0,"DEN",0,0,103
"Suriname","0",0,0,NA,0,0,0
"Trinidad & Tobago","32",206,0,"DEN",0,0,1347
"Turks & Caicos Islands","24",157,157,"DEN",0,0,50
