"Country.or.Subregion","Week","Probable","Lab.Confirm","Serotype","Severe.Dengue","Deaths","Population.x.1000"
"Canada","Week 30",0,0,NA,0,0,NA
"United States","Week 30",74,74,"DEN",0,0,325128
"Belize","Week 23",4,4,"DEN",NA,0,348
"Costa Rica","Week 30",3458,NA,"DEN 1,2",0,0,5002
"El Salvador","Week 29",2332,75,"DEN 2",53,0,6426
"Guatemala","Week 27",1522,230,"DEN 1,2",NA,NA,16255
"Honduras","Week 30",3673,0,"DEN 1, 2, 3",65,0,8721
"Mexico","Week 30",6086,3014,"DEN 1,2,3,4",796,9,125236
"Nicaragua","Week 26",33434,1325,"DEN",NA,2,6257
"Panama","Week 30",3938,1760,"DEN 1,2",9,0,3988
"Bolivia","Week 30",7995,NA,NA,77,NA,11025
"Colombia","Week 30",17792,8357,"DEN",191,47,49529
"Ecuador","Week 28",9713,9713,"DEN",9,4,16226
"Peru","Week 30",70515,23110,"DEN 2,3",232,77,31161
"Venezuela","Week 17",2722,309,"DEN",7,0,31028
"Argentina","Week 30",8750,446,"DEN 1,2,3",0,0,42155
"Brazil","Week 25",192123,NA,"DEN",131,57,203657
"Chile","Week 28",5,5,"DEN 2",0,0,17924
"Paraguay","Week 28",1294,297,"DEN 1",NA,0,7033
"Uruguay","Week 30",0,0,NA,0,0,3430
"Cuba","Week 25",270,NA,"DEN 2,3",NA,NA,11249
"Dominican Republic","Week 30",729,NA,"DEN",41,0,10652
"Puerto Rico","Week 30",9,9,"DEN 2",0,0,3680
"American Virgin Islands","Week 30",1,1,"DEN",0,0,104
"Anguilla","Week 12",15,2,"DEN",0,0,16
"Antigua & Barbuda","Week 24",1,0,NA,0,0,92
"Aruba","Week 24",661,8,"DEN",0,0,112
"Bahamas","Week 20",4,0,NA,0,0,388
"Barbados","Week 20",151,29,"DEN",0,0,291
"Bermuda","Week 24",0,0,NA,0,0,70
"British Virgin Islands","Week 20",28,28,"DEN",0,0,33
"Cayman Islands","Week 24",12,0,NA,0,0,56
"Curacao","Week 00",0,0,NA,0,0,148
"Dominica","Week 28",22,0,NA,0,0,74
"French Guiana","Week 17",165,0,NA,0,0,239
"Grenada","Week 20",59,59,"DEN",0,0,111
"Guadaloupe","Week 26",83,0,NA,0,0,411
"Guyana","Week 00",NA,NA,NA,0,0,808
"Haiti","Week 00",NA,NA,NA,0,0,10604
"Jamaica","Week 28",64,11,"DEN",0,0,2813
"Martinique","Week 26",73,1,"DEN 2",0,0,398
"Montserrat","Week 24",0,0,NA,0,0,5
"Netherlands Antilles","Week 00",NA,NA,NA,0,0,225
"St. Bartolome","Week 26",30,0,NA,0,0,9
"St. Kitts & Nevis","Week 24",4,0,NA,0,0,52
"St. Lucia","Week 24",14,14,"DEN",0,0,164
"St. Martin","Week 26",114,0,NA,0,0,41
"St. Vincent & the Grenadines","Week 16",2,1,NA,0,0,103
"Suriname","Week 00",NA,NA,NA,0,0,548
"Trinidad & Tobago","Week 19",61,0,NA,0,0,1347
"Turks & Caicos Islands","Week 24",157,157,"DEN",0,0,50
